,Bus Stop,Trip ID,Scooter ID,EndLat,EndLong,End To Bus,StartLat,StartLong,Start to Bus
10665,4596,LIM1750,Powered5TA5VVHXTRX25,,,,36.157714,-86.784302,104.1669995915883
10666,4616,LIM1778,PoweredVB6M32KNSQWJB,,,,36.168163,-86.786529,150.60918924964915
10667,4418,LIM1783,PoweredSDQ6GAHIJK5AF,,,,36.165968,-86.781554,233.48981648890228
10670,4188,LIM1957,Powered5SMTED63N35PA,,,,36.16117,-86.77346,247.84943482932457
10671,4616,LIM2054,PoweredTKA4UI6FLE57I,,,,36.168351,-86.786267,154.5508299093573
10672,4188,LIM2138,PoweredX3NK6F3UU7WPR,36.162027,-86.774175,146.46218150204155,,,
10673,4188,LIM2137,PoweredFWPAEAQMQWV7V,36.162068,-86.774359,200.62706394089022,,,
10674,4418,LIM2159,PoweredOY3FDDRZJDRAM,36.165906,-86.78189,233.38198934757867,,,
10676,4429,LIM2207,PoweredM6OBTMUO2WPSM,,,,36.16567,-86.781777,216.5372829964174
10677,4188,LIM2317,PoweredADFJYOZ5PCHYD,36.161253,-86.773476,217.97102849638506,,,
10678,4188,LIM2318,Powered6Z6YVT6VEHE2U,36.161781,-86.77365,34.27473954796478,,,
10679,4188,LIM2484,PoweredGBPIUGY3OXKZS,,,,36.161282,-86.774152,222.179061816057
10680,114,LIM2662,PoweredUZDR57OV6F4JS,36.151295,-86.798994,85.83224458579207,,,
10681,4188,LIM2550,PoweredQDVYGLDL6ZQDU,36.1616,-86.774033,108.78907250193983,,,
10682,4188,LIM2552,PoweredPUGYE3ABS2BX2,36.16119,-86.773623,227.6556075341983,,,
10683,4188,LIM2579,PoweredKLMMKZIHLRSDU,36.161792,-86.774398,187.2817445565704,,,
10684,4188,LIM2588,PoweredLE4ACBMXUY32V,36.162301,-86.77404,199.37857108470337,,,
10685,4596,LIM2622,PoweredVG4MWHTDRLESA,,,,36.157781,-86.784249,123.9644294230312
10686,4596,LIM2624,PoweredBZYD3PR7EEMXK,,,,36.157854,-86.784206,145.05017406173093
10687,4188,LIM2827,PoweredJXWMNZ5R4WAAL,36.162296,-86.774014,194.67231145243093,,,
10688,4188,LIM2887,PoweredJXWMNZ5R4WAAL,,,,36.16199,-86.774349,185.79787310984435
10690,487,LIM2999,PoweredLXV7RJSLHE56P,36.158523,-86.784215,206.0032254045096,,,
10691,4188,LIM2912,Powered3PEHX6PRBK7LX,36.16172,-86.774018,81.07094137608337,,,
